,108年第3季,108年第3季,107年第3季,107年第3季,108年01月01日至108年09月30日,108年01月01日至108年09月30日,107年01月01日至107年09月30日,107年01月01日至107年09月30日
,金額,%,金額,%,金額,%,金額,%
營業收入合計,1169889.0,100.0,1121587.0,100.0,3551356.0,100.0,3436442.0,100.0
營業成本合計,1035166.0,88.48,981554.0,87.51,3185655.0,89.7,3031159.0,88.21
營業毛利（毛損）,134723.0,11.52,140033.0,12.49,365701.0,10.3,405283.0,11.79
營業毛利（毛損）淨額,134723.0,11.52,140033.0,12.49,365701.0,10.3,405283.0,11.79
營業費用,,,,,,,,
推銷費用,34063.0,2.91,22169.0,1.98,85187.0,2.4,70616.0,2.05
管理費用,52476.0,4.49,56206.0,5.01,166230.0,4.68,164207.0,4.78
研究發展費用,14717.0,1.26,19283.0,1.72,50589.0,1.42,54765.0,1.59
預期信用減損損失（利益）,1965.0,0.17,1853.0,0.17,2888.0,0.08,3607.0,0.1
營業費用合計,103221.0,8.82,99511.0,8.87,304894.0,8.59,293195.0,8.53
營業利益（損失）,31502.0,2.69,40522.0,3.61,60807.0,1.71,112088.0,3.26
營業外收入及支出,,,,,,,,
其他收入,22577.0,1.93,24745.0,2.21,191630.0,5.4,177447.0,5.16
其他利益及損失淨額,-2285.0,-0.2,-3562.0,-0.32,-12907.0,-0.36,-3364.0,-0.1
財務成本淨額,8243.0,0.7,6079.0,0.54,24780.0,0.7,15635.0,0.45
採用權益法認列之關聯企業及合資損益之份額淨額,208589.0,17.83,280609.0,25.02,514602.0,14.49,543440.0,15.81
營業外收入及支出合計,220638.0,18.86,295713.0,26.37,668545.0,18.83,701888.0,20.42
稅前淨利（淨損）,252140.0,21.55,336235.0,29.98,729352.0,20.54,813976.0,23.69
所得稅費用（利益）合計,8089.0,0.69,-8358.0,-0.75,25989.0,0.73,60985.0,1.77
繼續營業單位本期淨利（淨損）,244051.0,20.86,344593.0,30.72,703363.0,19.81,752991.0,21.91
本期淨利（淨損）,244051.0,20.86,344593.0,30.72,703363.0,19.81,752991.0,21.91
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-113393.0,-9.69,57423.0,5.12,64536.0,1.82,27601.0,0.8
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,152.0,0.01,180.0,0.02,873.0,0.02,428.0,0.01
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,0.0,0.0,359.0,0.01
不重分類至損益之項目：,-113241.0,-9.68,57603.0,5.14,65409.0,1.84,27670.0,0.81
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-165897.0,-14.18,-195054.0,-17.39,-82743.0,-2.33,-72548.0,-2.11
後續可能重分類至損益之項目：,-165897.0,-14.18,-195054.0,-17.39,-82743.0,-2.33,-72548.0,-2.11
其他綜合損益（淨額）,-279138.0,-23.86,-137451.0,-12.26,-17334.0,-0.49,-44878.0,-1.31
本期綜合損益總額,-35087.0,-3.0,207142.0,18.47,686029.0,19.32,708113.0,20.61
淨利（損）歸屬於：,,,,,,,,
母公司業主（淨利∕損）,242371.0,20.72,346751.0,30.92,699299.0,19.69,759526.0,22.1
非控制權益（淨利∕損）,1680.0,0.14,-2158.0,-0.19,4064.0,0.11,-6535.0,-0.19
母公司業主（綜合損益）,-36767.0,-3.14,209300.0,18.66,681965.0,19.2,714648.0,20.8
非控制權益（綜合損益）,1680.0,0.14,-2158.0,-0.19,4064.0,0.11,-6535.0,-0.19
基本每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.37,,0.53,,1.07,,1.16,
基本每股盈餘,0.37,,0.53,,1.07,,1.16,
稀釋每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.37,,0.53,,1.07,,1.16,
稀釋每股盈餘,0.37,,0.53,,1.07,,1.16,
