,108年09月30日,108年09月30日,107年12月31日,107年12月31日,107年09月30日,107年09月30日
,金額,%,金額,%,金額,%
流動資產,,,,,,
現金及約當現金,227580.0,0.99,269426.0,1.19,222929.0,1.0
透過損益按公允價值衡量之金融資產－流動,1343.0,0.01,1166.0,0.01,1399.0,0.01
透過其他綜合損益按公允價值衡量之金融資產－流動,2266891.0,9.86,2114511.0,9.37,2334918.0,10.46
按攤銷後成本衡量之金融資產－流動,89065.0,0.39,89136.0,0.39,85937.0,0.38
合約資產－流動,22019.0,0.1,22268.0,0.1,24287.0,0.11
應收票據淨額,307436.0,1.34,442116.0,1.96,351246.0,1.57
應收帳款淨額,670373.0,2.92,680756.0,3.02,611455.0,2.74
應收帳款－關係人淨額,59092.0,0.26,94209.0,0.42,79550.0,0.36
其他應收款淨額,3931.0,0.02,27941.0,0.12,7041.0,0.03
本期所得稅資產,614.0,0.0,2576.0,0.01,1555.0,0.01
存貨,281334.0,1.22,293881.0,1.3,277679.0,1.24
預付款項,25350.0,0.11,11293.0,0.05,18169.0,0.08
其他流動資產,89244.0,0.39,9333.0,0.04,11308.0,0.05
流動資產合計,4044272.0,17.6,4058612.0,17.98,4027473.0,18.04
非流動資產,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,1390486.0,6.05,1399821.0,6.2,1415776.0,6.34
按攤銷後成本衡量之金融資產－非流動,51604.0,0.22,45390.0,0.2,43624.0,0.2
採用權益法之投資,9574608.0,41.66,9511656.0,42.13,9345903.0,41.87
不動產、廠房及設備,6167924.0,26.84,6050677.0,26.8,5994590.0,26.85
使用權資產,234469.0,1.02,0.0,0.0,0.0,0.0
投資性不動產淨額,790796.0,3.44,813667.0,3.6,814048.0,3.65
無形資產,8314.0,0.04,8548.0,0.04,7882.0,0.04
遞延所得稅資產,6447.0,0.03,6046.0,0.03,3898.0,0.02
其他非流動資產,712769.0,3.1,682155.0,3.02,670061.0,3.0
非流動資產合計,18937417.0,82.4,18517960.0,82.02,18295782.0,81.96
資產總額,22981689.0,100.0,22576572.0,100.0,22323255.0,100.0
流動負債,,,,,,
短期借款,872000.0,3.79,1027000.0,4.55,877000.0,3.93
應付短期票券,1964162.0,8.55,1389304.0,6.15,1489203.0,6.67
合約負債－流動,7731.0,0.03,7295.0,0.03,7375.0,0.03
應付票據,77889.0,0.34,158711.0,0.7,119303.0,0.53
應付票據－關係人,4139.0,0.02,2714.0,0.01,2976.0,0.01
應付帳款,384436.0,1.67,506110.0,2.24,353533.0,1.58
應付帳款－關係人,21840.0,0.1,15574.0,0.07,25799.0,0.12
其他應付款,218455.0,0.95,248029.0,1.1,232781.0,1.04
本期所得稅負債,20531.0,0.09,61579.0,0.27,44398.0,0.2
租賃負債－流動,44266.0,0.19,0.0,0.0,0.0,0.0
其他流動負債,32057.0,0.14,19163.0,0.08,22435.0,0.1
流動負債合計,3647506.0,15.87,3435479.0,15.22,3174803.0,14.22
非流動負債,,,,,,
遞延所得稅負債,1188089.0,5.17,1187752.0,5.26,1184938.0,5.31
租賃負債－非流動,192279.0,0.84,0.0,0.0,0.0,0.0
其他非流動負債,102864.0,0.45,124068.0,0.55,138667.0,0.62
非流動負債合計,1483232.0,6.45,1311820.0,5.81,1323605.0,5.93
負債總額,5130738.0,22.33,4747299.0,21.03,4498408.0,20.15
歸屬於母公司業主之權益,,,,,,
股本,,,,,,
普通股股本,6536092.0,28.44,6536092.0,28.95,6536092.0,29.28
股本合計,6536092.0,28.44,6536092.0,28.95,6536092.0,29.28
資本公積,,,,,,
資本公積合計,41265.0,0.18,41265.0,0.18,40862.0,0.18
保留盈餘,,,,,,
法定盈餘公積,2377952.0,10.35,2272223.0,10.06,2272223.0,10.18
特別盈餘公積,3185793.0,13.86,3185793.0,14.11,3185793.0,14.27
未分配盈餘（或待彌補虧損）,5034188.0,21.91,5104308.0,22.61,4807121.0,21.53
保留盈餘合計,10597933.0,46.11,10562324.0,46.78,10265137.0,45.98
其他權益,,,,,,
其他權益合計,558306.0,2.43,575640.0,2.55,867020.0,3.88
歸屬於母公司業主之權益合計,17733596.0,77.16,17715321.0,78.47,17709111.0,79.33
非控制權益,117355.0,0.51,113952.0,0.5,115736.0,0.52
權益總額,17850951.0,77.67,17829273.0,78.97,17824847.0,79.85
負債及權益總計,22981689.0,100.0,22576572.0,100.0,22323255.0,100.0
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,
