,97年09月30日,97年09月30日,98年09月30日,98年09月30日
,金額,％,金額,％
銷貨收入總額,4692142.00,100.36,6306614.00,100.14
銷貨折讓,17106.00,0.36,9368.00,0.14
銷貨收入淨額,4675036.00,100.00,6297246.00,100.00
營業收入合計,4675036.00,100.00,6297246.00,100.00
銷貨成本,4392465.00,93.95,5899492.00,93.68
營業成本合計,4392465.00,93.95,5899492.00,93.68
營業毛利(毛損),282571.00,6.04,397754.00,6.31
推銷費用,99009.00,2.11,104141.00,1.65
管理及總務費用,384415.00,8.22,494407.00,7.85
研究發展費用,6657.00,0.14,4998.00,0.07
營業費用合計,490081.00,10.48,603546.00,9.58
營業淨利(淨損),-207510.00,-4.43,-205792.00,-3.26
營業外收入及利益,,,,
投資收益,347914.00,7.44,212227.00,3.37
權益法認列之投資收益,252276.00,5.39,101855.00,1.61
股利收入,95638.00,2.04,110372.00,1.75
處分投資利益,137456.00,2.94,47.00,0.00
金融資產評價利益,0.00,0.00,150852.00,2.39
什項收入,79369.00,1.69,124584.00,1.97
營業外收入及利益,564739.00,12.07,487710.00,7.74
營業外費用及損失,,,,
利息費用,72212.00,1.54,121600.00,1.93
什項支出,23601.00,0.50,18508.00,0.29
營業外費用及損失,95813.00,2.04,140108.00,2.22
繼續營業單位稅前淨利(淨損),261416.00,5.59,141810.00,2.25
所得稅費用(利益),43468.00,0.92,10854.00,0.17
繼續營業單位淨利(淨損),217948.00,4.66,130956.00,2.07
合併淨損益,225732.00,4.82,133477.00,2.11
少數股權損益,-7784.00,-0.16,-2521.00,-0.04
合併總損益,217948.00,4.66,130956.00,2.07
基本每股盈餘,,,,
繼續營業單位淨利(淨損),0.36,0.00,0.22,0.00
基本每股盈餘之少數股權,0.01,0.00,0.00,0.00
基本每股盈餘,0.37,0.00,0.22,0.00
稀釋每股盈餘,,,,
繼續營業單位淨利(淨損),0.36,0.00,0.22,0.00
完全稀釋每股盈餘之少數股權,0.01,0.00,0.00,0.00
稀釋每股盈餘,0.37,0.00,0.22,0.00
