,97年09月30日,97年09月30日,98年09月30日,98年09月30日
,金額,％,金額,％
資產,,,,
流動資產,,,,
現金及約當現金,192453.00,1.13,132825.00,0.79
應收票據淨額,236729.00,1.39,315293.00,1.88
應收帳款淨額,434471.00,2.56,403666.00,2.41
其他應收款,39819.00,0.23,72156.00,0.43
存 貨,422874.00,2.49,655842.00,3.92
預付款項,191920.00,1.13,168969.00,1.01
其他流動資產,2899.00,0.01,17766.00,0.10
流動資產,1521165.00,8.97,1766517.00,10.57
基金及投資,,,,
備供出售金融資產-非流動,1229602.00,7.25,1002469.00,6.00
以成本衡量之金融資產-非流動,1633784.00,9.63,1654804.00,9.90
採權益法之長期股權投資,7081077.00,41.75,6776335.00,40.56
人壽保險現金解約價值,16212.00,0.09,18611.00,0.11
投資,7097289.00,41.85,6794946.00,40.67
基金及投資,9960675.00,58.73,9452219.00,56.58
固定資產,,,,
成本,,,,
土 地,910407.00,5.36,910407.00,5.44
房屋及建築,896504.00,5.28,870468.00,5.21
機器設備,2426539.00,14.30,2411511.00,14.43
其他設備,628783.00,3.70,650744.00,3.89
重估增值,2359128.00,13.91,2359128.00,14.12
累積折舊,-4153533.00,-24.49,-4116374.00,-24.64
未完工程及預付設備款,23324.00,0.13,3562.00,0.02
固定資產淨額,3091152.00,18.22,3089446.00,18.49
無形資產,,,,
遞延退休金成本,44411.00,0.26,50164.00,0.30
無形資產合計,44411.00,0.26,50164.00,0.30
其他資產,,,,
出租資產,199796.00,1.17,203415.00,1.21
閒置資產,1985839.00,11.71,1987976.00,11.90
存出保證金,57700.00,0.34,56968.00,0.34
遞延費用,2006.00,0.01,3410.00,0.02
其他資產–其他,94696.00,0.55,94696.00,0.56
其他資產合計,2340037.00,13.79,2346465.00,14.04
資產總計,16957440.00,100.00,16704811.00,100.00
負債及股東權益,,,,
負債,,,,
流動負債,,,,
短期借款,260000.00,1.53,581181.00,3.47
應付短期票券,374854.00,2.21,299820.00,1.79
應付票據,111281.00,0.65,127926.00,0.76
應付帳款,174945.00,1.03,268829.00,1.60
應付所得稅,10753.00,0.06,0.00,0.00
應付費用,158006.00,0.93,184705.00,1.10
預收款項,36591.00,0.21,80308.00,0.48
一年或一營業週期內到期長期負債,150000.00,0.88,200000.00,1.19
流動負債,1276430.00,7.52,1742769.00,10.43
長期負債,,,,
長期借款,2100000.00,12.38,1950000.00,11.67
長期負債,2100000.00,12.38,1950000.00,11.67
各項準備,,,,
土地增值稅準備,1082113.00,6.38,1082113.00,6.47
各項準備合計,1082113.00,6.38,1082113.00,6.47
其他負債,,,,
退休金準備／應計退休金負債,389103.00,2.29,437696.00,2.62
存入保證金,5196.00,0.03,6859.00,0.04
遞延所得稅,52866.00,0.31,27339.00,0.16
其他負債合計,447165.00,2.63,471894.00,2.82
負債總計,4905708.00,28.92,5246776.00,31.40
股東權益,,,,
股本,,,,
普通股股本,6038919.00,35.61,6038919.00,36.15
資本公積,,,,
資本公積–庫藏股票交易,21606.00,0.12,21606.00,0.12
資本公積–長期投資,135575.00,0.79,144816.00,0.86
資本公積合計,157181.00,0.92,166422.00,0.99
保留盈餘,,,,
法定盈餘公積,1271126.00,7.49,1265385.00,7.57
特別盈餘公積,106058.00,0.62,106058.00,0.63
未提撥保留盈餘,513903.00,3.03,369978.00,2.21
保留盈餘合計,1891087.00,11.15,1741421.00,10.42
股東權益其他調整項目合計,,,,
累積換算調整數,845718.00,4.98,617188.00,3.69
未認列為退休金成本之淨損失,-20175.00,-0.11,-7450.00,-0.04
金融商品之未實現損益,394381.00,2.32,156914.00,0.93
未實現重估增值,2744621.00,16.18,2744621.00,16.43
股東權益其他調整項目合計,3964545.00,23.37,3511273.00,21.01
股東權益總計,12051732.00,71.07,11458035.00,68.59
母公司暨子公司所持有之母公司庫藏股數,0.00,0.00,0.00,0.00
預收股款(股東權益項下)之約當發行股數,0.00,0.00,0.00,0.00
